epoch,train_loss,val_loss,mIoU,precision,recall,f1
1,1.287876,1.289522,0.134201,0.273332,0.239234,0.200479
2,1.214224,1.222877,0.203863,0.345500,0.326223,0.303779
3,1.189745,1.189153,0.190281,0.344326,0.311801,0.283232
4,1.163470,1.127034,0.228345,0.395257,0.340351,0.338913
5,1.114479,1.121151,0.219853,0.427065,0.326618,0.323155
6,1.087808,1.123862,0.210807,0.436182,0.316414,0.305910
7,1.073508,1.070013,0.267025,0.431134,0.389479,0.386810
8,1.058277,1.076641,0.268484,0.471949,0.394478,0.388928
9,1.052170,1.059466,0.292678,0.487419,0.412348,0.420927
10,1.036928,1.068399,0.269799,0.515458,0.385183,0.388747
