epoch,train_loss,val_loss,mIoU,precision,recall,f1
1,1.297067,1.296502,0.143323,0.184599,0.248942,0.210084
2,1.242310,1.231338,0.189945,0.272215,0.305002,0.284157
3,1.234973,1.283914,0.140455,0.179303,0.247708,0.206697
4,1.191434,1.194372,0.173458,0.300759,0.278559,0.253471
5,1.161362,1.170800,0.198372,0.295596,0.314487,0.288904
6,1.145246,1.200269,0.166120,0.317793,0.276650,0.244751
7,1.104842,1.138489,0.210872,0.443477,0.317927,0.308432
8,1.111225,1.104223,0.249669,0.466453,0.366298,0.363205
9,1.074645,1.108161,0.267106,0.445395,0.402888,0.391770
10,1.072384,1.107278,0.228851,0.496004,0.333927,0.333211
11,1.062708,1.089149,0.259470,0.491711,0.368041,0.375787
12,1.045874,1.083471,0.279603,0.465475,0.411891,0.405362
13,1.051448,1.076637,0.251670,0.532294,0.358494,0.360938
14,1.030981,1.063269,0.265372,0.552519,0.375736,0.375135
15,1.019308,1.064345,0.271986,0.525740,0.389219,0.390683
16,1.019309,1.045416,0.308586,0.511571,0.435051,0.441321
17,1.004404,1.027809,0.310925,0.504894,0.439940,0.441820
18,1.004845,1.091683,0.242836,0.491260,0.352471,0.350922
19,1.005265,1.013844,0.309995,0.546751,0.421878,0.435874
